title,city,locality,bhk,areaSqft,floor,totalFloors,ageYears,furnishedStatus,facing,propertyType,listingType,price,verified,hot,sellerName,sellerPhone
"Spacious 3BHK Builder Floor in T Nagar","Chennai","T Nagar","3","899","9","11","25","Semi-Furnished","West","Builder Floor","Buy","6367419","true","","Amit Patel","+91-9654321098"
"Luxurious 4BHK Apartment in Nungambakkam","Chennai","Nungambakkam","4","1333","12","17","15","Semi-Furnished","South-West","Apartment","Rent","68552","true","","Priya Singh","+91-9765432109"
"Luxurious 4BHK Apartment in Chromepet","Chennai","Chromepet","4","2085","7","19","10","Unfurnished","North-West","Apartment","Buy","11473250","true","","Sunita Verma","+91-9543210987"
"Luxurious 4BHK Studio in Porur","Chennai","Porur","4","1749","","3","15","Furnished","East","Studio","Rent","54162","","","Priya Singh","+91-9765432109"
"Cozy 1BHK Studio in Chromepet","Chennai","Chromepet","1","916","4","11","25","Furnished","North-West","Studio","Rent","11168","true","","Sunita Verma","+91-9543210987"
"Spacious 2BHK Independent House in Porur","Chennai","Porur","2","1198","6","9","2","Furnished","West","Independent House","Buy","9927162","","","Rahul Sharma","+91-9876543210"
"Cozy 1BHK Villa in Ambattur","Chennai","Ambattur","1","842","4","15","17","Semi-Furnished","North-East","Villa","Rent","8742","","","Amit Patel","+91-9654321098"
"Spacious 2BHK Apartment in T Nagar","Chennai","T Nagar","2","1418","13","21","4","Unfurnished","South-East","Apartment","Rent","28489","true","","Priya Singh","+91-9765432109"
"Spacious 3BHK Studio in Mylapore","Chennai","Mylapore","3","1014","20","20","10","Semi-Furnished","East","Studio","Buy","9595957","","","Sunita Verma","+91-9543210987"
"Luxurious 5BHK Studio in Chromepet","Chennai","Chromepet","5","2290","17","18","19","Semi-Furnished","North-East","Studio","Buy","11070106","true","","Rahul Sharma","+91-9876543210"
"Luxurious 5BHK Independent House in Sholinganallur","Chennai","Sholinganallur","5","1701","14","18","21","Furnished","South-West","Independent House","Buy","11881618","true","true","Rahul Sharma","+91-9876543210"
"Cozy 1BHK Builder Floor in Kodambakkam","Chennai","Kodambakkam","1","1144","12","16","9","Semi-Furnished","East","Builder Floor","Rent","13991","","","Rajesh Kumar","+91-9432109876"
"Spacious 3BHK Villa in Anna Nagar","Chennai","Anna Nagar","3","1763","5","17","18","Unfurnished","South-East","Villa","Rent","42683","true","","Amit Patel","+91-9654321098"
"Spacious 2BHK Builder Floor in Vadapalani","Chennai","Vadapalani","2","1304","11","24","7","Unfurnished","North","Builder Floor","Rent","25033","true","","Rajesh Kumar","+91-9432109876"
"Luxurious 4BHK Villa in Mylapore","Chennai","Mylapore","4","1379","4","16","13","Furnished","North-West","Villa","Rent","66051","true","","Sunita Verma","+91-9543210987"
"Spacious 3BHK Villa in Sholinganallur","Chennai","Sholinganallur","3","969","14","21","15","Furnished","South-East","Villa","Buy","7225026","","","Priya Singh","+91-9765432109"
"Spacious 2BHK Apartment in Vadapalani","Chennai","Vadapalani","2","1296","11","14","2","Furnished","East","Apartment","Buy","12834083","true","","Rajesh Kumar","+91-9432109876"
"Spacious 3BHK Apartment in Nungambakkam","Chennai","Nungambakkam","3","1353","14","19","20","Furnished","South-West","Apartment","Buy","12928111","","","Rahul Sharma","+91-9876543210"
"Spacious 3BHK Builder Floor in Sholinganallur","Chennai","Sholinganallur","3","1207","16","19","22","Unfurnished","East","Builder Floor","Buy","7479514","true","","Priya Singh","+91-9765432109"
"Luxurious 4BHK Studio in Perambur","Chennai","Perambur","4","1614","15","28","24","Semi-Furnished","South-West","Studio","Buy","8295416","","","Amit Patel","+91-9654321098"
"Spacious 2BHK Apartment in Tambaram","Chennai","Tambaram","2","1023","14","24","24","Semi-Furnished","North-East","Apartment","Buy","4871005","true","","Sunita Verma","+91-9543210987"
"Luxurious 5BHK Villa in Salt Lake","Kolkata","Salt Lake","5","2328","4","16","7","Unfurnished","North-East","Villa","Buy","14168085","true","","Rahul Sharma","+91-9876543210"
"Spacious 2BHK Apartment in Gariahat","Kolkata","Gariahat","2","1458","10","18","12","Furnished","North-West","Apartment","Buy","9837149","true","true","Priya Singh","+91-9765432109"
"Cozy 1BHK Studio in Park Street","Kolkata","Park Street","1","759","2","2","24","Unfurnished","East","Studio","Rent","12574","","","Amit Patel","+91-9654321098"
"Spacious 2BHK Studio in Park Street","Kolkata","Park Street","2","1332","8","14","20","Furnished","North-West","Studio","Rent","32541","true","","Rajesh Kumar","+91-9432109876"
"Spacious 3BHK Villa in Ballygunge","Kolkata","Ballygunge","3","1619","3","10","21","Unfurnished","North-East","Villa","Buy","9794745","","","Sunita Verma","+91-9543210987"
"Spacious 2BHK Villa in Howrah","Kolkata","Howrah","2","1315","20","34","19","Semi-Furnished","North","Villa","Buy","4554384","true","","Priya Singh","+91-9765432109"
"Spacious 3BHK Apartment in Jadavpur","Kolkata","Jadavpur","3","1490","3","3","2","Furnished","South","Apartment","Buy","9922389","","","Rahul Sharma","+91-9876543210"
"Luxurious 4BHK Independent House in Howrah","Kolkata","Howrah","4","1742","1","4","7","Semi-Furnished","South","Independent House","Buy","7835007","","","Rahul Sharma","+91-9876543210"
"Cozy 1BHK Independent House in Jadavpur","Kolkata","Jadavpur","1","700","20","28","","Semi-Furnished","East","Independent House","Rent","8910","","true","Rajesh Kumar","+91-9432109876"
"Spacious 3BHK Studio in Behala","Kolkata","Behala","3","1220","8","11","12","Semi-Furnished","North-West","Studio","Rent","22322","true","","Sunita Verma","+91-9543210987"
"Luxurious 4BHK Studio in Howrah","Kolkata","Howrah","4","1786","20","34","2","Unfurnished","East","Studio","Buy","8308890","true","","Amit Patel","+91-9654321098"
"Luxurious 4BHK Builder Floor in Tollygunge","Kolkata","Tollygunge","4","1251","14","24","3","Unfurnished","North","Builder Floor","Buy","6782320","","true","Amit Patel","+91-9654321098"
"Spacious 3BHK Studio in Garia","Kolkata","Garia","3","1670","16","29","6","Unfurnished","West","Studio","Rent","20540","true","","Priya Singh","+91-9765432109"
"Luxurious 5BHK Studio in Garia","Kolkata","Garia","5","1420","2","5","12","Unfurnished","South-West","Studio","Buy","4944982","","","Sunita Verma","+91-9543210987"
"Spacious 2BHK Apartment in New Town","Kolkata","New Town","2","1055","5","10","18","Semi-Furnished","North-West","Apartment","Buy","4979434","","","Priya Singh","+91-9765432109"
"Spacious 2BHK Independent House in Behala","Kolkata","Behala","2","1084","19","32","5","Unfurnished","East","Independent House","Buy","4739685","","true","Rahul Sharma","+91-9876543210"
"Spacious 3BHK Studio in Salt Lake","Kolkata","Salt Lake","3","1655","14","18","25","Unfurnished","North","Studio","Buy","8352753","true","","Rajesh Kumar","+91-9432109876"
"Spacious 3BHK Builder Floor in Barasat","Kolkata","Barasat","3","1641","15","15","6","Semi-Furnished","West","Builder Floor","Rent","17948","true","","Rahul Sharma","+91-9876543210"
"Luxurious 5BHK Apartment in Ballygunge","Kolkata","Ballygunge","5","1256","11","25","2","Furnished","North-West","Apartment","Buy","11318753","","","Amit Patel","+91-9654321098"
"Luxurious 5BHK Builder Floor in Garia","Kolkata","Garia","5","1648","4","15","24","Unfurnished","South-East","Builder Floor","Buy","5129712","true","true","Rajesh Kumar","+91-9432109876"
"Luxurious 4BHK Independent House in Barasat","Kolkata","Barasat","4","1399","6","16","4","Semi-Furnished","South","Independent House","Rent","24051","true","","Rahul Sharma","+91-9876543210"
"Spacious 2BHK Studio in Howrah","Kolkata","Howrah","2","794","17","19","9","Furnished","South-East","Studio","Buy","3806001","","true","Priya Singh","+91-9765432109"
"Cozy 1BHK Studio in Garia","Kolkata","Garia","1","878","1","15","1","Semi-Furnished","South-West","Studio","Buy","4175644","true","","Priya Singh","+91-9765432109"
"Cozy 1BHK Villa in Ballygunge","Kolkata","Ballygunge","1","923","18","24","8","Furnished","North-West","Villa","Buy","8223585","true","","Rajesh Kumar","+91-9432109876"
"Luxurious 4BHK Builder Floor in Ballygunge","Kolkata","Ballygunge","4","1303","15","17","23","Semi-Furnished","East","Builder Floor","Rent","52726","","","Rahul Sharma","+91-9876543210"
"Spacious 3BHK Builder Floor in Park Street","Kolkata","Park Street","3","1700","17","17","1","Unfurnished","South","Builder Floor","Buy","13871321","true","","Priya Singh","+91-9765432109"
"Spacious 3BHK Apartment in Salt Lake","Kolkata","Salt Lake","3","1116","9","23","","Unfurnished","North-East","Apartment","Buy","8031049","true","","Rahul Sharma","+91-9876543210"
"Spacious 3BHK Villa in Park Street","Kolkata","Park Street","3","1613","16","20","8","Furnished","South","Villa","Buy","13348113","true","","Rajesh Kumar","+91-9432109876"
"Spacious 3BHK Apartment in Garia","Kolkata","Garia","3","1381","4","5","21","Semi-Furnished","East","Apartment","Buy","5223182","true","","Rajesh Kumar","+91-9432109876"
"Spacious 2BHK Builder Floor in Behala","Kolkata","Behala","2","838","14","21","10","Unfurnished","East","Builder Floor","Rent","15860","true","true","Sunita Verma","+91-9543210987"
"Spacious 3BHK Independent House in Ballygunge","Kolkata","Ballygunge","3","1177","18","26","15","Semi-Furnished","North-West","Independent House","Buy","8052834","true","","Sunita Verma","+91-9543210987"
"Spacious 3BHK Builder Floor in Rajarhat","Kolkata","Rajarhat","3","1174","7","10","3","Semi-Furnished","South-West","Builder Floor","Buy","5510089","true","","Rahul Sharma","+91-9876543210"
"Cozy 1BHK Independent House in Barasat","Kolkata","Barasat","1","732","11","16","13","Unfurnished","West","Independent House","Buy","2254223","","","Rajesh Kumar","+91-9432109876"
"Spacious 3BHK Villa in Barasat","Kolkata","Barasat","3","1562","6","8","22","Furnished","South","Villa","Rent","19799","","true","Rahul Sharma","+91-9876543210"
"Spacious 3BHK Builder Floor in Jadavpur","Kolkata","Jadavpur","3","1052","1","14","18","Furnished","West","Builder Floor","Buy","5524336","true","true","Rahul Sharma","+91-9876543210"
"Cozy 1BHK Apartment in Garia","Kolkata","Garia","1","842","2","7","5","Furnished","South","Apartment","Buy","4226502","true","","Rajesh Kumar","+91-9432109876"
"Spacious 2BHK Studio in New Town","Kolkata","New Town","2","718","4","11","15","Unfurnished","South-West","Studio","Buy","3402726","true","","Priya Singh","+91-9765432109"
"Spacious 3BHK Independent House in Salt Lake","Kolkata","Salt Lake","3","1497","2","3","20","Furnished","North-West","Independent House","Buy","9285342","","","Sunita Verma","+91-9543210987"
"Spacious 2BHK Studio in Park Street","Kolkata","Park Street","2","1477","18","21","15","Furnished","West","Studio","Buy","12238926","","true","Rahul Sharma","+91-9876543210"
"Cozy 1BHK Independent House in Garia","Kolkata","Garia","1","567","15","20","8","Unfurnished","North-East","Independent House","Rent","7297","true","","Priya Singh","+91-9765432109"
"Spacious 2BHK Studio in Salt Lake","Kolkata","Salt Lake","2","1167","4","15","14","Semi-Furnished","North-West","Studio","Buy","6878164","","","Rajesh Kumar","+91-9432109876"
"Spacious 3BHK Villa in Howrah","Kolkata","Howrah","3","1352","18","30","6","Furnished","South-West","Villa","Buy","6525853","","","Sunita Verma","+91-9543210987"
"Spacious 2BHK Independent House in Behala","Kolkata","Behala","2","1102","6","14","25","Furnished","South","Independent House","Buy","3999642","true","","Priya Singh","+91-9765432109"
"Spacious 3BHK Builder Floor in Rajarhat","Kolkata","Rajarhat","3","1055","3","8","8","Unfurnished","West","Builder Floor","Buy","4415113","true","true","Priya Singh","+91-9765432109"
"Luxurious 4BHK Builder Floor in Kasba","Kolkata","Kasba","4","1376","17","22","4","Semi-Furnished","South-East","Builder Floor","Buy","8095301","","","Rahul Sharma","+91-9876543210"
"Spacious 3BHK Villa in Kasba","Kolkata","Kasba","3","1466","11","21","20","Furnished","North","Villa","Rent","29892","","true","Sunita Verma","+91-9543210987"
"Luxurious 4BHK Independent House in Dum Dum","Kolkata","Dum Dum","4","1892","11","20","11","Unfurnished","North-East","Independent House","Buy","7397296","true","","Amit Patel","+91-9654321098"
"Spacious 3BHK Independent House in Jadavpur","Kolkata","Jadavpur","3","1693","12","13","14","Unfurnished","North","Independent House","Rent","25566","true","","Amit Patel","+91-9654321098"
"Cozy 1BHK Apartment in Park Street","Kolkata","Park Street","1","727","20","23","24","Furnished","North-East","Apartment","Buy","5217106","true","","Rajesh Kumar","+91-9432109876"
"Spacious 2BHK Builder Floor in Behala","Kolkata","Behala","2","756","15","19","24","Unfurnished","East","Builder Floor","Buy","2580751","true","","Sunita Verma","+91-9543210987"
"Spacious 2BHK Apartment in Garia","Kolkata","Garia","2","1134","16","17","8","Semi-Furnished","South","Apartment","Buy","5155536","","","Sunita Verma","+91-9543210987"
"Spacious 2BHK Apartment in Tollygunge","Kolkata","Tollygunge","2","860","5","7","17","Furnished","South","Apartment","Buy","3994491","","true","Rajesh Kumar","+91-9432109876"
"Luxurious 5BHK Villa in Salt Lake","Kolkata","Salt Lake","5","1222","","5","7","Semi-Furnished","North-West","Villa","Buy","7343296","","","Rajesh Kumar","+91-9432109876"
"Cozy 1BHK Builder Floor in Behala","Kolkata","Behala","1","630","8","11","25","Furnished","South-East","Builder Floor","Rent","8283","true","","Rajesh Kumar","+91-9432109876"
"Spacious 3BHK Villa in Alipore","Kolkata","Alipore","3","1646","15","15","20","Unfurnished","North-East","Villa","Buy","11226475","true","","Amit Patel","+91-9654321098"
"Luxurious 4BHK Villa in Gariahat","Kolkata","Gariahat","4","1043","20","28","10","Semi-Furnished","North","Villa","Rent","46029","","","Rajesh Kumar","+91-9432109876"
"Spacious 3BHK Apartment in Ballygunge","Kolkata","Ballygunge","3","1271","14","28","16","Furnished","North-East","Apartment","Rent","39774","true","","Sunita Verma","+91-9543210987"
"Luxurious 4BHK Studio in Ballygunge","Kolkata","Ballygunge","4","1736","7","8","5","Unfurnished","West","Studio","Buy","12270981","","true","Amit Patel","+91-9654321098"
"Spacious 3BHK Builder Floor in Tollygunge","Kolkata","Tollygunge","3","1600","6","13","9","Furnished","West","Builder Floor","Buy","9166090","","","Priya Singh","+91-9765432109"
"Cozy 1BHK Apartment in Kasba","Kolkata","Kasba","1","553","13","20","22","Semi-Furnished","South-West","Apartment","Rent","9204","true","","Rajesh Kumar","+91-9432109876"
"Luxurious 4BHK Villa in Park Street","Kolkata","Park Street","4","1007","2","15","12","Semi-Furnished","North-West","Villa","Buy","7630714","true","","Sunita Verma","+91-9543210987"
"Spacious 3BHK Apartment in Rajarhat","Kolkata","Rajarhat","3","1178","14","28","12","Furnished","North","Apartment","Rent","28666","true","true","Priya Singh","+91-9765432109"
"Spacious 3BHK Studio in Rajarhat","Kolkata","Rajarhat","3","1041","19","25","21","Semi-Furnished","South-East","Studio","Buy","4331851","true","","Amit Patel","+91-9654321098"
"Spacious 2BHK Studio in Tollygunge","Kolkata","Tollygunge","2","1410","13","24","13","Semi-Furnished","South-West","Studio","Rent","17734","true","","Rajesh Kumar","+91-9432109876"
"Luxurious 5BHK Apartment in Park Street","Kolkata","Park Street","5","1706","13","22","7","Furnished","East","Apartment","Buy","15426670","","","Amit Patel","+91-9654321098"
"Cozy 1BHK Studio in Kasba","Kolkata","Kasba","1","843","13","19","10","Semi-Furnished","South","Studio","Buy","4500689","true","","Amit Patel","+91-9654321098"
"Cozy 1BHK Studio in Kasba","Kolkata","Kasba","1","1132","13","15","","Unfurnished","North-East","Studio","Buy","6191346","true","","Priya Singh","+91-9765432109"
"Spacious 3BHK Studio in Rajarhat","Kolkata","Rajarhat","3","1710","20","27","18","Unfurnished","South-West","Studio","Rent","24274","","","Amit Patel","+91-9654321098"
"Luxurious 4BHK Studio in Kasba","Kolkata","Kasba","4","1333","9","22","24","Unfurnished","East","Studio","Buy","5184720","true","","Amit Patel","+91-9654321098"
"Luxurious 5BHK Villa in Howrah","Kolkata","Howrah","5","2296","10","22","24","Furnished","East","Villa","Buy","8635934","","","Priya Singh","+91-9765432109"
"Luxurious 4BHK Independent House in Howrah","Kolkata","Howrah","4","1535","16","19","5","Semi-Furnished","South","Independent House","Buy","6640825","true","","Amit Patel","+91-9654321098"
"Spacious 2BHK Villa in Kasba","Kolkata","Kasba","2","900","19","30","7","Furnished","South-East","Villa","Buy","4902814","true","","Amit Patel","+91-9654321098"
"Luxurious 4BHK Studio in Jadavpur","Kolkata","Jadavpur","4","1777","10","10","23","Furnished","East","Studio","Buy","8709773","true","true","Rajesh Kumar","+91-9432109876"
"Spacious 2BHK Villa in Behala","Kolkata","Behala","2","772","3","17","8","Unfurnished","South-West","Villa","Rent","15999","","","Sunita Verma","+91-9543210987"
"Luxurious 5BHK Apartment in Behala","Kolkata","Behala","5","2202","20","23","22","Unfurnished","South","Apartment","Buy","7744122","true","true","Priya Singh","+91-9765432109"
"Spacious 3BHK Apartment in Barasat","Kolkata","Barasat","3","1800","13","24","9","Unfurnished","North-East","Apartment","Rent","17140","true","","Sunita Verma","+91-9543210987"
"Luxurious 4BHK Apartment in Howrah","Kolkata","Howrah","4","2158","15","16","19","Furnished","North-West","Apartment","Buy","9319999","","","Rahul Sharma","+91-9876543210"
"Luxurious 5BHK Villa in Salt Lake","Kolkata","Salt Lake","5","1802","11","22","4","Unfurnished","South-East","Villa","Buy","10760142","true","","Rajesh Kumar","+91-9432109876"
"Luxurious 4BHK Villa in Gariahat","Kolkata","Gariahat","4","1660","9","18","9","Furnished","East","Villa","Buy","10612961","","","Sunita Verma","+91-9543210987"
"Cozy 1BHK Villa in Dum Dum","Kolkata","Dum Dum","1","571","3","13","25","Furnished","North-East","Villa","Buy","2194075","true","","Sunita Verma","+91-9543210987"
"Luxurious 4BHK Studio in Behala","Kolkata","Behala","4","1740","2","6","12","Semi-Furnished","West","Studio","Buy","6867717","","","Rahul Sharma","+91-9876543210"
"Spacious 2BHK Independent House in Kasba","Kolkata","Kasba","2","1301","7","11","25","Semi-Furnished","South-East","Independent House","Rent","17208","true","","Priya Singh","+91-9765432109"
"Cozy 1BHK Studio in Rajarhat","Kolkata","Rajarhat","1","1071","14","27","22","Unfurnished","North-West","Studio","Rent","8302","","","Rahul Sharma","+91-9876543210"
"Spacious 3BHK Independent House in Jadavpur","Kolkata","Jadavpur","3","1792","","3","17","Unfurnished","South","Independent House","Buy","7454018","","","Amit Patel","+91-9654321098"
"Spacious 2BHK Apartment in Barasat","Kolkata","Barasat","2","746","15","28","14","Semi-Furnished","South-East","Apartment","Buy","2231939","true","true","Amit Patel","+91-9654321098"
"Spacious 3BHK Independent House in Tollygunge","Kolkata","Tollygunge","3","1212","13","16","12","Unfurnished","East","Independent House","Rent","25587","true","","Rajesh Kumar","+91-9432109876"
"Spacious 2BHK Builder Floor in Rajarhat","Kolkata","Rajarhat","2","885","6","13","23","Furnished","West","Builder Floor","Buy","3495939","true","","Rajesh Kumar","+91-9432109876"
"Cozy 1BHK Studio in Kasba","Kolkata","Kasba","1","637","19","23","24","Furnished","South-West","Studio","Rent","10202","true","true","Rahul Sharma","+91-9876543210"
"Spacious 2BHK Independent House in Alipore","Kolkata","Alipore","2","867","1","2","4","Furnished","East","Independent House","Buy","8512130","","true","Amit Patel","+91-9654321098"
"Spacious 2BHK Builder Floor in Howrah","Kolkata","Howrah","2","1404","12","16","16","Unfurnished","North-East","Builder Floor","Buy","5265872","true","","Priya Singh","+91-9765432109"
"Cozy 1BHK Apartment in Garia","Kolkata","Garia","1","568","4","4","10","Furnished","South-West","Apartment","Buy","2779031","true","","Rajesh Kumar","+91-9432109876"
"Spacious 2BHK Apartment in Kasba","Kolkata","Kasba","2","812","12","16","8","Furnished","East","Apartment","Buy","4743115","true","","Rahul Sharma","+91-9876543210"
"Luxurious 5BHK Villa in Jadavpur","Kolkata","Jadavpur","5","1725","17","17","10","Furnished","North-East","Villa","Buy","10351012","true","","Priya Singh","+91-9765432109"
"Luxurious 5BHK Studio in Gariahat","Kolkata","Gariahat","5","1588","3","3","22","Semi-Furnished","South-West","Studio","Buy","8145004","true","","Rahul Sharma","+91-9876543210"
"Spacious 3BHK Independent House in Tollygunge","Kolkata","Tollygunge","3","1683","19","29","18","Semi-Furnished","South","Independent House","Buy","7848927","true","","Rajesh Kumar","+91-9432109876"
"Spacious 3BHK Apartment in Behala","Kolkata","Behala","3","1419","13","18","18","Unfurnished","West","Apartment","Buy","5173217","true","","Sunita Verma","+91-9543210987"
"Luxurious 5BHK Apartment in Behala","Kolkata","Behala","5","2041","14","20","6","Furnished","North","Apartment","Rent","45404","true","","Rajesh Kumar","+91-9432109876"
"Spacious 2BHK Villa in Dum Dum","Kolkata","Dum Dum","2","786","5","11","19","Furnished","North","Villa","Buy","3063991","","true","Rahul Sharma","+91-9876543210"
"Spacious 3BHK Independent House in Ballygunge","Kolkata","Ballygunge","3","1631","11","11","25","Unfurnished","South","Independent House","Rent","39817","true","","Priya Singh","+91-9765432109"
"Spacious 3BHK Independent House in Salt Lake","Kolkata","Salt Lake","3","1519","19","20","9","Unfurnished","South-West","Independent House","Buy","9388415","true","true","Rahul Sharma","+91-9876543210"
"Spacious 2BHK Builder Floor in Jadavpur","Kolkata","Jadavpur","2","933","12","26","12","Furnished","West","Builder Floor","Buy","4856144","","","Priya Singh","+91-9765432109"
"Spacious 2BHK Builder Floor in Dum Dum","Kolkata","Dum Dum","2","1367","18","20","15","Semi-Furnished","West","Builder Floor","Buy","5680974","true","","Amit Patel","+91-9654321098"
"Spacious 3BHK Villa in Howrah","Kolkata","Howrah","3","1819","8","14","25","Unfurnished","West","Villa","Rent","21942","true","","Rahul Sharma","+91-9876543210"
"Spacious 3BHK Apartment in Gariahat","Kolkata","Gariahat","3","1575","19","21","8","Semi-Furnished","North-East","Apartment","Rent","31367","","true","Amit Patel","+91-9654321098"
"Luxurious 5BHK Independent House in Park Street","Kolkata","Park Street","5","1520","10","11","17","Unfurnished","South-East","Independent House","Buy","10394724","","true","Rahul Sharma","+91-9876543210"
"Luxurious 4BHK Independent House in Salt Lake","Kolkata","Salt Lake","4","1292","2","4","8","Semi-Furnished","East","Independent House","Buy","7943555","true","","Amit Patel","+91-9654321098"
"Spacious 2BHK Builder Floor in Rajarhat","Kolkata","Rajarhat","2","1419","1","11","8","Unfurnished","East","Builder Floor","Buy","5962419","true","","Priya Singh","+91-9765432109"
"Spacious 3BHK Apartment in Park Street","Kolkata","Park Street","3","1713","9","14","11","Semi-Furnished","West","Apartment","Buy","12556215","true","","Priya Singh","+91-9765432109"
"Spacious 3BHK Villa in Garia","Kolkata","Garia","3","1625","17","21","14","Furnished","South-West","Villa","Rent","24464","true","","Amit Patel","+91-9654321098"
"Luxurious 4BHK Villa in Behala","Kolkata","Behala","4","2133","12","22","20","Unfurnished","North-East","Villa","Buy","7429074","","","Rahul Sharma","+91-9876543210"
"Spacious 2BHK Apartment in Maninagar","Ahmedabad","Maninagar","2","1440","5","6","4","Unfurnished","North-West","Apartment","Rent","13848","","true","Amit Patel","+91-9654321098"
"Luxurious 5BHK Apartment in Chandkheda","Ahmedabad","Chandkheda","5","1711","3","13","17","Furnished","North","Apartment","Buy","6289067","","","Rajesh Kumar","+91-9432109876"
"Spacious 2BHK Studio in Vatva","Ahmedabad","Vatva","2","1176","17","32","5","Unfurnished","South-West","Studio","Rent","10582","true","","Priya Singh","+91-9765432109"
"Spacious 3BHK Studio in Vastrapur","Ahmedabad","Vastrapur","3","911","10","15","23","Furnished","West","Studio","Buy","4169161","","","Rahul Sharma","+91-9876543210"
"Spacious 3BHK Villa in Satellite","Ahmedabad","Satellite","3","924","20","35","1","Unfurnished","South-West","Villa","Buy","6338502","true","true","Rajesh Kumar","+91-9432109876"
"Spacious 2BHK Villa in Naroda","Ahmedabad","Naroda","2","967","20","23","14","Furnished","West","Villa","Rent","13345","","","Rahul Sharma","+91-9876543210"
"Luxurious 5BHK Villa in SG Highway","Ahmedabad","SG Highway","5","1488","6","13","24","Unfurnished","South-West","Villa","Rent","45189","true","","Rahul Sharma","+91-9876543210"
"Spacious 3BHK Builder Floor in Bopal","Ahmedabad","Bopal","3","1817","14","28","22","Unfurnished","South-West","Builder Floor","Rent","24461","","","Priya Singh","+91-9765432109"
"Cozy 1BHK Villa in Vastrapur","Ahmedabad","Vastrapur","1","823","19","31","1","Semi-Furnished","South-East","Villa","Rent","9753","true","","Amit Patel","+91-9654321098"
"Luxurious 4BHK Villa in Gota","Ahmedabad","Gota","4","2099","12","20","18","Unfurnished","South-West","Villa","Rent","25988","","","Priya Singh","+91-9765432109"
"Spacious 3BHK Apartment in Vatva","Ahmedabad","Vatva","3","1341","12","24","10","Furnished","North-West","Apartment","Rent","19807","true","","Amit Patel","+91-9654321098"
"Cozy 1BHK Apartment in Chandkheda","Ahmedabad","Chandkheda","1","695","8","23","4","Furnished","North-West","Apartment","Buy","3108242","true","","Sunita Verma","+91-9543210987"
"Luxurious 4BHK Apartment in SG Highway","Ahmedabad","SG Highway","4","1555","16","23","17","Semi-Furnished","South-West","Apartment","Buy","6623772","true","","Priya Singh","+91-9765432109"
"Spacious 2BHK Independent House in Chandkheda","Ahmedabad","Chandkheda","2","1235","16","29","15","Unfurnished","North","Independent House","Buy","4002565","","","Rajesh Kumar","+91-9432109876"
"Spacious 3BHK Independent House in SG Highway","Ahmedabad","SG Highway","3","1181","3","18","4","Semi-Furnished","East","Independent House","Buy","6222069","true","true","Priya Singh","+91-9765432109"
"Cozy 1BHK Apartment in Vatva","Ahmedabad","Vatva","1","838","15","25","15","Semi-Furnished","West","Apartment","Buy","2541908","true","true","Priya Singh","+91-9765432109"
"Cozy 1BHK Apartment in Memnagar","Ahmedabad","Memnagar","1","1115","4","18","17","Furnished","North-East","Apartment","Buy","5033430","true","","Sunita Verma","+91-9543210987"
"Spacious 2BHK Builder Floor in Navrangpura","Ahmedabad","Navrangpura","2","858","18","29","12","Furnished","North-West","Builder Floor","Buy","5057934","true","","Sunita Verma","+91-9543210987"
"Cozy 1BHK Builder Floor in Memnagar","Ahmedabad","Memnagar","1","1097","15","19","15","Semi-Furnished","South-West","Builder Floor","Rent","8749","true","","Sunita Verma","+91-9543210987"
"Luxurious 5BHK Builder Floor in Satellite","Ahmedabad","Satellite","5","2513","10","22","22","Furnished","South","Builder Floor","Buy","13355493","","","Rajesh Kumar","+91-9432109876"
"Spacious 3BHK Villa in Gota","Ahmedabad","Gota","3","1763","4","7","8","Semi-Furnished","South-West","Villa","Rent","19027","","","Rajesh Kumar","+91-9432109876"
"Cozy 1BHK Studio in Gota","Ahmedabad","Gota","1","821","8","23","11","Semi-Furnished","South-East","Studio","Buy","2740897","true","","Rajesh Kumar","+91-9432109876"
"Spacious 2BHK Builder Floor in Memnagar","Ahmedabad","Memnagar","2","1478","13","15","13","Furnished","North-West","Builder Floor","Buy","7120874","true","","Amit Patel","+91-9654321098"
"Spacious 3BHK Studio in Bopal","Ahmedabad","Bopal","3","1549","19","23","","Unfurnished","West","Studio","Buy","7569025","","","Sunita Verma","+91-9543210987"
"Spacious 3BHK Villa in Prahlad Nagar","Ahmedabad","Prahlad Nagar","3","1420","14","27","21","Unfurnished","North-West","Villa","Buy","6907734","","true","Sunita Verma","+91-9543210987"
"Spacious 2BHK Apartment in Vastrapur","Ahmedabad","Vastrapur","2","1260","1","3","11","Unfurnished","South-East","Apartment","Rent","18913","true","true","Rajesh Kumar","+91-9432109876"
"Luxurious 4BHK Builder Floor in SG Highway","Ahmedabad","SG Highway","4","2083","7","20","2","Semi-Furnished","East","Builder Floor","Buy","11742847","true","","Amit Patel","+91-9654321098"
"Cozy 1BHK Villa in Bodakdev","Ahmedabad","Bodakdev","1","951","14","29","21","Semi-Furnished","South-West","Villa","Buy","4888826","","","Rahul Sharma","+91-9876543210"
"Luxurious 4BHK Apartment in Naroda","Ahmedabad","Naroda","4","2122","11","15","22","Furnished","North","Apartment","Rent","27612","true","","Amit Patel","+91-9654321098"
"Cozy 1BHK Studio in Maninagar","Ahmedabad","Maninagar","1","812","13","19","11","Semi-Furnished","South","Studio","Rent","7247","","","Sunita Verma","+91-9543210987"
